Stkcd,Accper,Indcd
000619,2017/3/31,C29
000619,2017/6/30,C29
000619,2017/9/30,C29
000619,2017/12/31,C29
000620,2017/3/31,K70
000620,2017/6/30,K70
000620,2017/9/30,K70
000620,2017/12/31,K70
000622,2017/3/31,C35
000622,2017/6/30,C35
000622,2017/9/30,C35
000622,2017/12/31,C35
000623,2017/3/31,C27
000623,2017/6/30,C27
000623,2017/9/30,C27
000623,2017/12/31,C27
000625,2017/3/31,C36
000625,2017/6/30,C36
000625,2017/9/30,C36
000625,2017/12/31,C36
000626,2017/3/31,F51
000626,2017/6/30,F51
000626,2017/9/30,F51
000626,2017/12/31,F51
000627,2017/3/31,J68
000627,2017/6/30,J68
000627,2017/9/30,J68
000627,2017/12/31,J68
000628,2017/3/31,E47
000628,2017/6/30,E47
000628,2017/9/30,E47
000628,2017/12/31,E47
000629,2017/3/31,B08
000630,2017/3/31,C32
000630,2017/6/30,C32
000630,2017/9/30,C32
000630,2017/12/31,C32
000631,2017/3/31,K70
000631,2017/6/30,K70
000631,2017/9/30,K70
000631,2017/12/31,K70
000632,2017/3/31,F51
000632,2017/6/30,F51
000632,2017/9/30,F51
000632,2017/12/31,F51
000633,2017/3/31,C38
000633,2017/6/30,C38
000633,2017/9/30,C38
000633,2017/12/31,C38
000635,2017/3/31,C26
000635,2017/6/30,C26
000635,2017/9/30,C26
000635,2017/12/31,C26
000636,2017/3/31,C39
000636,2017/6/30,C39
000636,2017/9/30,C39
000636,2017/12/31,C39
000637,2017/3/31,C25
000637,2017/6/30,C25
000637,2017/9/30,C25
000637,2017/12/31,C25
000638,2017/3/31,F51
000638,2017/6/30,F51
000639,2017/3/31,C13
000639,2017/6/30,C13
000639,2017/9/30,C13
000639,2017/12/31,C13
000650,2017/3/31,C27
000650,2017/6/30,C27
000650,2017/9/30,C27
000650,2017/12/31,C27
000651,2017/3/31,C38
000651,2017/6/30,C38
000651,2017/9/30,C38
000651,2017/12/31,C38
000652,2017/3/31,F51
000652,2017/6/30,F51
000652,2017/9/30,F51
000652,2017/12/31,F51
000655,2017/3/31,B08
000655,2017/6/30,B08
000655,2017/9/30,B08
000655,2017/12/31,B08
000656,2017/3/31,K70
000656,2017/9/30,K70
000656,2017/12/31,K70
000657,2017/3/31,C32
000657,2017/6/30,C32
000657,2017/9/30,C32
000657,2017/12/31,C32
000659,2017/3/31,C29
000659,2017/6/30,C29
000659,2017/9/30,C29
000659,2017/12/31,C29
000661,2017/3/31,C27
000661,2017/6/30,C27
000661,2017/9/30,C27
000661,2017/12/31,C27
000662,2017/3/31,C26
000662,2017/6/30,C26
000662,2017/12/31,I65
000663,2017/3/31,C21
000663,2017/6/30,C21
000663,2017/9/30,C21
000663,2017/12/31,C21
000665,2017/3/31,R86
000665,2017/6/30,R86
000665,2017/9/30,R86
000665,2017/12/31,R86
000666,2017/3/31,C35
000666,2017/6/30,C35
000666,2017/9/30,C35
000666,2017/12/31,C35
000667,2017/3/31,K70
000667,2017/6/30,K70
000667,2017/9/30,K70
000667,2017/12/31,K70
000668,2017/3/31,K70
000668,2017/6/30,K70
000668,2017/9/30,K70
000668,2017/12/31,K70
000669,2017/3/31,D45
000669,2017/6/30,D45
000669,2017/9/30,D45
000669,2017/12/31,D45
000670,2017/3/31,C39
000670,2017/6/30,C39
000670,2017/9/30,C39
000670,2017/12/31,C39
000671,2017/3/31,K70
000671,2017/6/30,K70
000671,2017/9/30,K70
000671,2017/12/31,K70
000672,2017/3/31,C30
000672,2017/6/30,C30
000672,2017/9/30,C30
000672,2017/12/31,C30
000673,2017/9/30,R87
000673,2017/12/31,R87
000676,2017/3/31,C38
000676,2017/6/30,C38
000676,2017/9/30,I64
000676,2017/12/31,I64
000677,2017/3/31,C28
000677,2017/6/30,C28
000677,2017/9/30,C28
000677,2017/12/31,C28
000678,2017/3/31,C34
000678,2017/6/30,C34
000678,2017/9/30,C34
000679,2017/3/31,F52
000679,2017/6/30,F52
000679,2017/9/30,F52
000679,2017/12/31,F52
000680,2017/3/31,C35
000680,2017/6/30,C35
000680,2017/9/30,C35
000680,2017/12/31,C35
000681,2017/3/31,R87
000681,2017/6/30,R87
000681,2017/9/30,R87
000681,2017/12/31,R87
000682,2017/9/30,C38
000682,2017/12/31,C38
000683,2017/3/31,C26
000683,2017/6/30,C26
000683,2017/9/30,C26
000683,2017/12/31,C26
000685,2017/3/31,D46
000685,2017/6/30,D46
000685,2017/9/30,D46
000685,2017/12/31,D46
000686,2017/3/31,J67
000686,2017/6/30,J67
000686,2017/9/30,J67
000686,2017/12/31,J67
000687,2017/3/31,C39
000687,2017/6/30,C39
000687,2017/9/30,C39
000687,2017/12/31,C39
