Stkcd,Ddate,Meps
證券代碼,報告期間,每股收益
沒有單位,沒有單位,元
002502,2019-12-31,-0.98
002503,2019-12-31,0.07
002505,2019-12-31,0.0113
002506,2019-12-31,0.011
002507,2019-12-31,0.77
002508,2019-12-31,1.68
002509,2019-12-31,-1.19
002510,2019-12-31,0.1
002511,2019-12-31,0.47
002512,2019-12-31,0.0453
002513,2019-12-31,-1.52
002514,2019-12-31,0.1197
002515,2019-12-31,0.04
002516,2019-12-31,0.1121
002517,2019-12-31,-0.8809
002518,2019-12-31,0.55
002519,2019-12-31,0.14
002520,2019-12-31,0.24
002521,2019-12-31,0.27
002522,2019-12-31,0.07
002523,2019-12-31,0.057
002527,2019-12-31,0.09
002528,2019-12-31,0.0626
002529,2019-12-31,-2.0596
002530,2019-12-31,-0.87
002531,2019-12-31,0.42
002532,2019-12-31,0.26
002533,2019-12-31,0.354
002534,2019-12-31,0.5
002536,2019-12-31,0.16
002537,2019-12-31,-1.99
002538,2019-12-31,0.33
002539,2019-12-31,0.21
002540,2019-12-31,0.289
002541,2019-12-31,1.07
002543,2019-12-31,0.8
002544,2019-12-31,0.06
002545,2019-12-31,0.242
002547,2019-12-31,0.02
002548,2019-12-31,0.34
002549,2019-12-31,0.143
002550,2019-12-31,0.21
002551,2019-12-31,0.0847
002553,2019-12-31,0.1213
002554,2019-12-31,0.08
002555,2019-12-31,1
002556,2019-12-31,0.23
002557,2019-12-31,1.192
002558,2019-12-31,0.41
002559,2019-12-31,0.1771
002561,2019-12-31,0.51
002562,2019-12-31,0.05
002563,2019-12-31,0.58
002564,2019-12-31,0.05
002565,2019-12-31,-0.1884
002567,2019-12-31,0.2419
002568,2019-12-31,0.58
002570,2019-12-31,-0.1
002572,2019-12-31,1.18
002573,2019-12-31,0.3513
002574,2019-12-31,0.11
002576,2019-12-31,0.21
002577,2019-12-31,-0.61
002578,2019-12-31,0.05
002579,2019-12-31,0.4
002580,2019-12-31,0.07
002581,2019-12-31,0.0961
002582,2019-12-31,0.38
002583,2019-12-31,0.04
002584,2019-12-31,0.07
002585,2019-12-31,0.15
002586,2019-12-31,-1.24
002587,2019-12-31,0.3
002588,2019-12-31,0.09
002589,2019-12-31,-0.62
002590,2019-12-31,0.26
002591,2019-12-31,0.2834
002592,2019-12-31,-1.53
002593,2019-12-31,0.11
002594,2019-12-31,0.5
002595,2019-12-31,1.0785
002596,2019-12-31,-0.36
002597,2019-12-31,1.45
002598,2019-12-31,0.2409
002599,2019-12-31,0.26
002600,2019-12-31,0.28
002601,2019-12-31,1.29
002602,2019-12-31,0.46
002603,2019-12-31,0.51
002604,2019-12-31,-1.35
002605,2019-12-31,0.869
002607,2019-12-31,0.29
002608,2019-12-31,0.64
002609,2019-12-31,0.22
002610,2019-12-31,-0.36
002611,2019-12-31,1.01
002612,2019-12-31,0.1428
002614,2019-12-31,0.52
002615,2019-12-31,0.13
002616,2019-12-31,0.3979
002617,2019-12-31,0.02
002618,2019-12-31,0.03
002619,2019-12-31,-1.38
002620,2019-12-31,0.43
002621,2019-12-31,0.2
002623,2019-12-31,-0.61
002624,2019-12-31,1.16
002625,2019-12-31,0.05
002626,2019-12-31,0.73
002627,2019-12-31,0.3584
002628,2019-12-31,0.06
002629,2019-12-31,0.075
002630,2019-12-31,0.031
002631,2019-12-31,0.12
002632,2019-12-31,0.32
002635,2019-12-31,-0.92
002636,2019-12-31,0.215
002637,2019-12-31,0.84
002638,2019-12-31,-0.24
002639,2019-12-31,0.0845
002640,2019-12-31,-1.74
002641,2019-12-31,0.46
002642,2019-12-31,0.0538
002643,2019-12-31,0.56
002644,2019-12-31,0.1466
002645,2019-12-31,0.3867
