嚜燕ostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-06-29,002106,1,2107,2,2,0,2.03,0.5,242,376,C39,,
2017-06-23,002106,1,6925,23,19,5,0.82,1.5,590,323,C39,,
2017-06-07,002106,1,2076,4,4,1,1.97,0.5,242,376,C39,,
2017-08-30,002106,1,3751,7,7,4,1.58,0.5,237,304,C39,,
2017-08-29,002106,1,5564,14,15,4,0,2,233,209,C39,,
2017-08-28,002106,1,5990,13,13,5,1.57,0.5,237,304,C39,,
2017-08-27,002106,1,3016,2,2,1,1.57,0.5,237,304,C39,,
2017-09-06,002106,1,8778,34,31,8,1.6,0.5,240,304,C39,,
2017-10-13,002106,1,3473,15,0,1,0.08,2,120,100,C39,,
2017-10-27,002106,1,3376,14,14,3,0.02,1,6,7,C39,,
2017-10-30,002106,1,6723,9,9,0,0.59,2,114,239,C39,,
2017-11-08,002106,1,5471,14,14,0,1.83,2,36,101,C39,,
2017-03-20,002109,1,24042,118,113,16,2.03,1.5,628,376,C26,,
2017-09-26,002111,1,1252,1,1,0,2.53,1.5,66,101,C35,,
2017-11-21,002115,1,4682,1,1,3,2.62,0.5,1,6,C39,,
2017-06-09,002122,1,70531,78,78,23,2.42,0,464,391,C34,,
2017-12-22,002123,1,3730,5,0,2,0.37,2,115,240,I65,,
2017-12-13,002125,1,756,1,0,0,2.65,1.5,299,361,C26,,
2017-07-24,002125,2,18967.5,48.5,0,6.5,1.68,1.25,51.5,160.5,C26,,
2017-08-27,002128,1,5584,15,0,2,0.36,0,1057,345,B06,,
2017-11-27,002129,1,9730,10,10,2,4.29,0,3,0,C38,,
2017-12-01,002129,1,11603,17,10,1,0,2,50,351,C38,,
2017-12-04,002129,2,13133.5,12,4,3.5,0.01,2,52,377,C38,,
2017-09-13,002130,1,8711,12,4,2,1.54,1.5,353,379,C39,,
2017-06-09,002131,1,4283,7,7,3,1.25,1.5,13,66,I64,,
2017-06-16,002131,1,114580,51,48,18,0.12,1.5,15,133,I64,,
2017-06-18,002131,1,15654,32,28,15,1.28,1.5,13,68,I64,,
2017-08-20,002131,1,3218,10,3,5,0.02,2,166,355,I64,,
2017-01-16,002131,1,10679,28,12,35,1.2,2,123,98,I64,,
2017-01-24,002131,4,60361.25,95.25,65.5,17.75,1.19,2.38,983,188,I64,,
2017-02-09,002131,1,25370,65,37,10,0.08,2,186,221,I64,,
2017-02-20,002131,1,15513,59,17,3,1.57,1.5,19,217,I64,,
2017-02-28,002131,1,15542,45,11,4,1,2,253,367,I64,,
2017-05-20,002131,1,17268,32,26,15,0.16,1,2,17,I64,,
2017-05-02,002133,1,11789,10,8,5,1.65,0.5,137,171,K70,,
2017-01-03,002143,1,22820,54,35,4,1.65,2,4,14,L72,,
2017-08-09,002145,1,2844,8,4,2,2.8,2,133,256,C26,,
2017-08-29,002148,1,3224,1,1,0,4.1,1,51,23,I65,,
2017-12-11,002148,1,1739,1,1,1,0.99,2,98,382,I65,,
2017-07-05,002150,1,2540,10,3,2,0.99,2,45,326,C33,,
2017-12-29,002155,1,7759,15,0,8,8.36,2,546,303,B09,,
2017-08-14,002157,1,60639,141,80,43,2.03,1.5,9,122,C13,,
2017-04-18,002157,1,25046,64,63,51,3.02,1.5,14,60,C13,,
2017-09-09,002158,1,10142,8,7,4,1.77,1,235,373,C34,,
2017-08-15,002159,1,7705,0,0,0,2.9,1,134,0,N78,,
2017-12-08,002161,1,6918,12,0,0,3.36,2,175,340,C39,,
2017-06-29,002164,1,4291,18,7,2,1.63,1.5,27,56,C34,,
2017-10-31,002165,1,5966,8,7,3,1.04,1,4,29,C26,,
2017-10-19,002167,1,264863,266,262,42,0.07,2,43,65,C32,,
2017-03-22,002167,1,17955,46,45,12,3.81,1.5,30,56,C32,,
2017-01-10,002167,2,6791,23,11.5,5,1.62,1,42,29,C32,,
2017-12-06,002174,1,11277,73,5,3,2.31,2,121,307,I64,,
2017-01-05,002174,1,12294,37,11,1,1.39,2,121,307,I64,,
2017-01-06,002174,1,19716,34,11,1,1.39,2,121,307,I64,,
2017-05-06,002176,1,9842,4,3,6,7.07,1,1,0,C38,,
2017-12-05,002183,1,7028,2,1,3,2.15,1,13,88,L72,,
2017-07-26,002184,1,3963,1,1,0,0.19,1.5,74,0,C38,,
2017-08-30,002184,1,7584,0,1,0,0.28,1.5,74,0,C38,,
2017-09-12,002184,1,15974,4,4,4,0.32,1.5,74,0,C38,,
2017-09-15,002184,1,7858,2,2,0,0.33,1.5,74,0,C38,,
2017-09-21,002184,2,11425,2.5,2.5,0.5,0.34,1.5,74,0,C38,,
2017-11-10,002185,1,10018,4,4,0,0.05,2,92,314,C39,,
2017-07-19,002186,1,5048,8,6,0,0,0,87,362,H62,,
2017-07-21,002186,1,6117,31,16,0,0.9,1,7,51,H62,,
2017-07-13,002186,1,2789,5,5,0,0.21,2,117,379,H62,,
2017-03-08,002191,1,8301,10,5,2,1.24,1.5,22,88,C23,,
2017-09-07,002191,1,3995,2,0,0,1.74,1.5,22,88,C23,,
2017-10-31,002191,1,12968,18,11,3,2.32,1,29,57,C23,,
2017-04-23,002192,1,16328,13,9,5,1.8,1,47,103,C39,,
2017-11-03,002192,1,19435,27,25,15,0.16,1.5,2,2,C39,,
2017-11-04,002192,1,20805,42,42,10,0.16,1.5,2,2,C39,,
2017-12-20,002192,2,7947,17,1,4,1.14,1.75,167.5,343.5,C39,,
2017-12-26,002192,1,3949,9,3,1,0.3,1,7,290,C39,,
2017-09-29,002193,1,22160,5,3,0,2.61,1,37,87,C17,,
2017-11-26,002195,1,26898,55,44,9,1.22,2,276,340,I65,,
2017-12-08,002195,1,26221,95,47,7,3.45,2,241,387,I65,,
2017-11-14,002195,1,5131,9,3,3,0.3,2,115,330,I65,,
2017-05-08,002195,4,3239.75,5.5,5.5,1,1.98,2,265,386,I65,,
