嚜燕ostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-12-19,000862,1,40957,62,4,2,1.41,1.5,300,372,D44,,
2017-12-11,000868,2,177000,121,99,13,2.61,3.5,440,359,C36,,
2017-12-14,000868,1,71519,130,106,20,4.71,3,531,349,C36,,
2017-11-13,000868,1,141367,73,0,29,3.19,4,266,344,C36,,
2017-10-10,000868,1,81366,130,60,55,2.66,4.5,2789,378,C36,,
2017-12-27,000880,1,132233,141,90,9,0.12,2,54,326,C34,,
2017-07-04,000880,1,8953,13,9,7,1.87,1,433,317,C34,,
2017-04-05,000880,1,11962,15,12,12,0.11,2,72,359,C34,,
2017-10-16,000880,1,26854,216,216,153,3.39,3.5,1535,311,C34,,
2017-11-28,000880,1,13670,41,40,7,3.5,3,1032,348,C34,,
2017-08-09,000880,1,24958,30,14,7,2.05,3,829,365,C34,,
2017-03-14,000880,1,256645,595,261,44,1.28,1.5,309,370,C34,,
2017-09-29,000899,1,4679,5,4,3,1.32,2.5,60,320,D44,,
2017-10-20,000905,1,65288,17,17,15,4.57,3,2102,0,G55,,
2017-11-15,000905,1,16238,16,16,6,4.64,3,2102,0,G55,,
2017-07-14,000905,1,169206,179,178,284,1.69,2,4,9,G55,,
2017-05-15,000905,1,68159,70,67,29,0.72,1.5,18,380,G55,,
2017-06-07,000912,1,57816,29,29,8,4.2,3.5,530,0,C26,,
2017-08-02,000912,1,27774,9,9,7,2.97,4,205,23,C26,,
2017-12-03,000912,1,3171,1,0,4,0.29,2,31,326,C26,,
2017-12-05,000912,1,8035,17,0,4,0.3,2,31,326,C26,,
2017-12-12,000912,1,26768,0,1,1,0.57,1,11,0,C26,,
2017-12-14,000912,1,7294,7,3,1,0.32,2,34,355,C26,,
2017-12-22,000912,1,18873,36,0,9,4.84,2,11,94,C26,,
2017-12-25,000912,1,7363,7,4,4,0.07,2,47,379,C26,,
2017-12-27,000912,1,2949,7,0,0,0.9,2.5,253,315,C26,,
2017-12-31,000912,1,28387,24,19,3,4.3,3,254,392,C26,,
2017-07-27,000913,1,16280,22,14,7,3.92,3.5,438,322,C37,,
2017-11-22,000913,1,1552,0,0,2,1.3,1.5,80,34,C37,,
2017-10-03,000927,1,19510,14,8,4,1.93,2,197,214,C36,,
2017-08-04,000927,1,85026,31,0,14,4.36,4,1978,0,C36,,
2017-08-01,000927,1,133514,129,99,15,0.13,1.5,2,38,C36,,
2017-11-29,000927,1,6170,4,3,0,9.99,3,201,380,C36,,
2017-11-27,000927,1,4854,6,6,2,2.08,2,195,212,C36,,
2017-11-06,000927,1,138139,94,94,12,4.61,0,1957,0,C36,,
2017-12-10,000927,1,154734,94,75,14,2.61,3.5,440,359,C36,,
