嚜燕ostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-08-28,000768,1,17092,72,62,12,0.43,3,2398,315,C37,,
2017-08-12,000768,1,22189,72,43,7,0.39,3,2398,315,C37,,
2017-08-01,000768,1,6648,60,51,31,0.05,2.5,171,321,C37,,
2017-07-25,000768,1,25043,77,74,29,0.42,2.5,121,331,C37,,
2017-10-19,000778,1,44893,64,42,13,4.22,4,1775,334,C33,,
2017-09-26,000778,1,554299,866,316,38,8.02,3.5,70,310,C33,,
2017-09-13,000778,1,13609,17,5,2,3.08,2.5,137,315,C33,,
2017-09-04,000780,2,5,0,0,0,4.44,3,558,0,B06,,
2017-08-16,000780,2,5,0,0,0,4.39,3,560,0,B06,,
2017-12-20,000780,2,8,0,0,0,4.74,3,544,0,B06,,
2017-11-20,000780,2,4,0,0,0,4.65,3,548,0,B06,,
2017-02-24,000780,1,3,0,0,0,3.92,3,606,0,B06,,
2017-02-06,000780,2,9,0,0,0,3.87,3,580,0,B06,,
2017-01-17,000780,2,51.5,0,0,0,3.81,3,588,0,B06,,
2017-09-20,000780,1,8,0,0,0,4.49,3,603,0,B06,,
2017-12-04,000780,2,15,0,0,0,4.69,3,548,0,B06,,
2017-10-10,000780,2,9,0,0,0,4.54,3,552,0,B06,,
2017-07-03,000780,2,12.5,0,0,0,4.27,3,564,0,B06,,
2017-01-04,000780,2,11.5,0,0,0,3.78,3,584,0,B06,,
2017-07-17,000780,2,15.5,0,0,0,4.31,3,562,0,B06,,
2017-10-17,000780,2,13,0,0,0,4.56,3,552,0,B06,,
2017-03-17,000780,1,2,0,0,0,3.98,3,605,0,B06,,
2017-04-18,000780,2,5,0,0,0,4.06,3,572,0,B06,,
2017-05-02,000780,2,43,0,0,0,4.1,3,588,0,B06,,
2017-06-07,000780,2,27,0,0,0,4.2,3,566,0,B06,,
2017-04-05,000780,2,20,0,0,0,4.03,3,576,0,B06,,
2017-08-01,000780,2,9,0,0,0,4.35,3,560,0,B06,,
2017-11-01,000780,2,8.5,0,0,0,4.6,3,552,0,B06,,
2017-05-16,000780,2,20,0,0,0,4.14,3,572,0,B06,,
2017-11-22,000785,1,15641,38,19,3,0.08,2.5,307,365,F52,,
2017-11-17,000785,1,5895,15,8,4,3.45,4,198,336,F52,,
2017-12-17,000789,1,10120,1,1,0,6.98,2.5,241,362,C30,,
2017-12-27,000792,2,8336,16,2,0.5,3.32,4,5746,323,C26,,
2017-12-04,000792,1,2076,0,0,3,2.88,2.5,213,303,C26,,
2017-05-18,000792,1,9316,17,15,0,7.52,3.5,437,387,C26,,
2017-09-09,000792,1,17742,12,8,11,2.75,4.5,7805,310,C26,,
2017-04-02,000792,1,501369,793,305,71,3.75,2.5,270,341,C26,,
2017-11-17,000792,1,36095,79,21,3794,2.76,4.5,2840,315,C26,,
2017-09-22,000792,1,100763,114,0,48,8.61,4,206,304,C26,,
2017-05-24,000792,1,3204,13,6,0,2.68,2.5,323,384,C26,,
2017-06-29,000792,1,12701,34,24,4,2.78,2.5,301,399,C26,,
2017-11-18,000792,1,178294,248,54,40,2.77,4.5,2786,379,C26,,
2017-12-29,000797,1,15470,20,18,5,2.26,3,1002,377,K70,,
2017-11-09,000797,1,21895,1,1,6,4.62,3.5,1376,0,K70,,
2017-12-07,000797,1,21498,12,12,0,4.7,3.5,1394,0,K70,,
2017-11-02,000797,2,16110.5,16,7.5,3,2.78,2.75,845,194,K70,,
2017-12-07,000799,1,19023,55,16,7,0.58,2.5,73,334,C15,,
2017-11-16,000799,1,2027,8,1,0,10.09,3.5,1423,350,C15,,
2017-05-26,000799,1,4244,2,2,3,2.61,3,170,388,C15,,
2017-07-25,000800,1,16049,23,17,16,1.27,3,473,396,C36,,
2017-12-14,000800,1,188833,145,119,33,2.62,3.5,439,349,C36,,
2017-04-11,000800,1,1942,2,2,1,3.08,2.5,218,341,C36,,
2017-01-10,000801,1,66013,11,11,2,3.79,3.5,2395,0,C39,,
2017-08-18,000802,1,488993,441,337,79,5.62,3.5,642,325,R86,,
2017-11-18,000807,1,23261,11,11,0,2.96,2.5,2036,378,C32,,
2017-05-19,000811,1,11269,10,3,6,0.04,2.5,168,355,C34,,
2017-12-26,000813,1,27509,15,0,6,4.75,3.5,1689,0,C27,,
2017-04-17,000815,1,25017,13,13,7,4.06,2.5,191,0,C22,,
2017-12-18,000816,2,49477,10.5,10.5,4,4.73,3.5,2996,0,C34,,
2017-12-25,000816,1,56777,21,21,3,4.75,3.5,2998,0,C34,,
2017-11-05,000816,1,7168,1,1,3,3.21,3,249,357,C34,,
2017-11-06,000816,1,101509,27,27,21,4.61,3.5,3039,0,C34,,
2017-11-08,000816,1,42342,25,21,2,3.37,2.5,368,388,C34,,
2017-11-16,000816,1,58161,29,29,26,4.64,3.5,3039,0,C34,,
2017-10-23,000816,1,169133,79,0,25,4.58,3.5,2995,0,C34,,
2017-10-31,000816,1,71441,21,21,10,4.6,3.5,2995,0,C34,,
2017-04-27,000820,1,75108,24,0,7,4.08,3.5,398,0,C42,,
2017-07-26,000820,1,205322,53,53,29,4.33,3.5,526,0,C42,,
2017-12-25,000822,1,4458,2,2,2,1.14,3,1973,315,C26,,
2017-01-02,000822,1,29465,30,0,11,1.72,4,2835,379,C26,,
2017-12-01,000823,1,30080,3,3,3,4.68,3,2130,0,C39,,
2017-02-23,000825,1,199080,400,259,74,4.84,3.5,188,310,C31,,
2017-05-02,000825,1,82577,44,13,13,0.86,3.5,1338,347,C31,,
