Stkcd,Accper,Typrep,Indcd
002279,2020-12-31,A,I65
002280,2020-12-31,A,I65
002281,2020-12-31,A,C39
002282,2020-12-31,A,C34
002283,2020-12-31,A,C36
002284,2020-12-31,A,C36
002285,2020-12-31,A,K70
002286,2020-12-31,A,C13
002287,2020-12-31,A,C27
002288,2020-12-31,A,C39
002289,2020-12-31,A,C39
002290,2020-12-31,A,C38
002291,2020-12-31,A,C18
002292,2020-12-31,A,C24
002293,2020-12-31,A,C17
002294,2020-12-31,A,C27
002295,2020-12-31,A,C32
002296,2020-12-31,A,C39
002297,2020-12-31,A,C30
002298,2020-12-31,A,I65
002299,2020-12-31,A,A03
002300,2020-12-31,A,C38
002301,2020-12-31,A,C24
002302,2020-12-31,A,C30
002303,2020-12-31,A,C22
002304,2020-12-31,A,C15
002305,2020-12-31,A,K70
002306,2020-12-31,A,H62
002307,2020-12-31,A,E48
002308,2020-12-31,A,C39
002309,2020-12-31,A,C38
002310,2020-12-31,A,N77
002311,2020-12-31,A,C13
002312,2020-12-31,A,C26
002313,2020-12-31,A,C39
002314,2020-12-31,A,K70
002315,2020-12-31,A,I64
002316,2020-12-31,A,I65
002317,2020-12-31,A,C27
002318,2020-12-31,A,C33
002319,2020-12-31,A,C26
002320,2020-12-31,A,G55
002321,2020-12-31,A,A03
002322,2020-12-31,A,I65
002323,2020-12-31,A,E50
002324,2020-12-31,A,C29
002325,2020-12-31,A,E50
002326,2020-12-31,A,C26
002327,2020-12-31,A,C17
002328,2020-12-31,A,C36
002329,2020-12-31,A,C14
002330,2020-12-31,A,C13
002331,2020-12-31,A,I65
002332,2020-12-31,A,C27
002333,2020-12-31,A,C32
002334,2020-12-31,A,C38
002335,2020-12-31,A,C38
002336,2020-12-31,A,F52
002337,2020-12-31,A,C35
002338,2020-12-31,A,C40
002339,2020-12-31,A,C38
002340,2020-12-31,A,C42
002341,2020-12-31,A,C26
002342,2020-12-31,A,C33
002343,2020-12-31,A,R86
002344,2020-12-31,A,L72
002345,2020-12-31,A,C41
002346,2020-12-31,A,C38
002347,2020-12-31,A,C34
002348,2020-12-31,A,C24
002349,2020-12-31,A,C27
002350,2020-12-31,A,C38
002351,2020-12-31,A,C39
002352,2020-12-31,A,G60
002353,2020-12-31,A,C35
002354,2020-12-31,A,I64
002355,2020-12-31,A,C36
002356,2020-12-31,A,F52
002357,2020-12-31,A,G54
002358,2020-12-31,A,C38
002359,2020-12-31,A,I63
002360,2020-12-31,A,C26
002361,2020-12-31,A,C26
002362,2020-12-31,A,C39
002363,2020-12-31,A,C36
002364,2020-12-31,A,C38
002365,2020-12-31,A,C27
002366,2020-12-31,A,C35
002367,2020-12-31,A,C34
002368,2020-12-31,A,I65
002369,2020-12-31,A,C39
002370,2020-12-31,A,C27
002371,2020-12-31,A,C35
002372,2020-12-31,A,C29
002373,2020-12-31,A,I65
002374,2020-12-31,A,E48
002375,2020-12-31,A,E50
002376,2020-12-31,A,C39
002377,2020-12-31,A,K70
002378,2020-12-31,A,C32
002379,2020-12-31,A,C32
002380,2020-12-31,A,I65
002381,2020-12-31,A,C29
